Origen,Destino,Tipo
BI1106,BI1105,Correquisito
BI1105,BI1106,Correquisito
CI0200,CI1230,Requisito
CI0202,CI1230,Requisito
QU1106,QU1102,Correquisito
QU1102,QU1106,Correquisito
MA0101,AI2101,Requisito
CI1106,CI1107,Requisito
CI1230,CI1231,Requisito
FI1201,FI1101,Correquisito
FI1101,FI1201,Correquisito
MA1102,FI1101,Correquisito
FI1101,MA1102,Correquisito
MA0101,MA1102,Requisito
QU1102,QU1104,Requisito
QU1106,QU1104,Requisito
QU1107,QU1104,Correquisito
QU1104,QU1107,Correquisito
QU1102,QU1107,Requisito
QU1106,QU1107,Requisito
BI1105,AI3104,Requisito
AI1100,CA2125,Requisito
FI1101,FI2103,Requisito
MA1102,FI2103,Requisito
MA1102,MA1103,Requisito
QU1107,QU2604,Requisito
QU2605,QU2604,Correquisito
QU2604,QU2605,Correquisito
AI2101,QU2605,Requisito
QU1104,QU2605,Requisito
FI2103,AI3208,Requisito
QU1107,AI3212,Requisito
CS1502,CS2101,Requisito
AI3104,CS4108,Requisito
MA1102,FO2401,Requisito
QU1107,QU2409,Requisito
QU2410,QU2409,Correquisito
QU2409,QU2410,Correquisito
QU1104,QU2410,Requisito
QU2410,AI3105,Requisito
AI3106,AI3105,Correquisito
AI3105,AI3106,Correquisito
QU2409,AI3106,Requisito
AI3208,AI3107,Requisito
QU2604,AI3107,Requisito
FO2401,AI3108,Requisito
FO2401,FO3401,Requisito
MA1103,MA2104,Requisito
AI3105,AI3109,Requisito
AI3110,AI3109,Correquisito
AI3109,AI3110,Correquisito
AI3112,AI3109,Correquisito
AI3109,AI3112,Correquisito
AI3107,AI3110,Requisito
AI3108,AI3110,Requisito
AI3108,AI3111,Requisito
CS2101,AI3111,Requisito
AI3106,AI3112,Requisito
QU2604,AI3112,Requisito
FO3401,AI3209,Requisito
MA1103,MA2105,Requisito
AI3111,AE5121,Requisito
AI3112,AI4101,Requisito
AI3107,AI4102,Requisito
AI3212,AI4102,Requisito
AI4103,AI4102,Correquisito
AI4102,AI4103,Correquisito
AI3212,AI4104,Requisito
AE5121,AI4104,Correquisito
AI4104,AE5121,Correquisito
CA2125,MA3106,Requisito
AE5121,AE4208,Requisito
MA3106,AI5104,Requisito
AI4101,AI5105,Requisito
AI5106,AI5105,Correquisito
AI5105,AI5106,Correquisito
AI4102,AI5106,Requisito
AI4104,AI5106,Requisito
AI3209,AI5107,Requisito
AI3212,AI5107,Requisito
AE5121,AI4304,Requisito
AE4208,AI5903,Requisito
AI5104,AI5903,Requisito
AI5105,AI5903,Requisito
AI5106,AI5903,Requisito
AI5107,AI5903,Requisito
CS3404,AI5903,Requisito
AI5104,AI6101,Requisito
AI6102,AI6101,Correquisito
AI6101,AI6102,Correquisito
AI5105,AI6102,Requisito
AI5106,CS2404,Requisito
AI4104,AI6104,Requisito
AI6102,AI6105,Requisito
AI5903,AI6106,Requisito
